label,ax,ay,az,gx,gy,gz
0,14500,-4036,7256,302,224,-418
0,14488,-3444,7296,109,167,-1026
0,14604,-3072,7408,-81,127,-119
0,14740,-2956,7588,217,338,-719
0,14412,-3328,7376,-537,253,513
0,14364,-4352,6748,562,-146,-999
0,14096,-4468,6264,2378,-1720,-6093
0,18208,-56,6120,-392,1795,5610
0,11104,-6612,7980,4204,1202,15220
0,14928,-5564,5472,13004,-8051,5683
0,11172,-6308,11208,3974,6817,1308
0,13304,-4400,10448,360,1454,-1740
0,13708,-4716,9692,-37,428,-1245
0,13604,-4244,10108,-2376,2613,303
0,14680,-5456,9512,-3730,4167,4432
0,12616,-8064,9380,-2216,762,1825
0,12440,-7284,7068,-782,-1160,1228
0,11528,-8292,8264,-577,7060,2785
0,9852,-8908,8708,-1189,250,6116
0,9060,-10112,8980,566,-1123,4012
0,8260,-9856,10060,69,22,2094
0,8288,-10248,9396,-220,729,332
0,9800,-10800,8992,322,806,-1901
0,9392,-10960,10180,-233,-282,-843
0,10476,-7828,10168,-740,1115,-1015
0,9212,-10628,10544,-3244,-3170,4850
0,7364,-9324,11172,888,-681,1617
0,10372,-11028,7284,-1459,2072,679
0,9092,-9744,9844,-1422,2844,6131
0,8088,-11804,8516,-1069,-194,5491
0,6588,-11216,9624,-494,1845,2388
0,7092,-11736,9740,570,1100,-1437
0,7636,-11420,9636,-855,1577,-1367
0,7416,-11872,9648,121,1149,-1086
0,7224,-11904,9460,-476,-510,-3993
0,8724,-11380,9592,2168,-1833,-7152
0,10104,-9572,9492,558,-3488,-2566
0,10824,-9952,8672,2379,-7872,-1824
0,12740,-8592,5720,7725,-19895,375
0,15148,-7652,4196,7171,-10859,1044
0,12036,-7724,7328,2999,-3589,1547
0,15040,-7924,2404,1983,-11988,-7263
0,14888,-5584,3548,3032,1081,-12016
0,18476,-1968,1920,-2867,3330,-5389
0,16536,-2740,3684,-12651,13082,1957
0,14628,-5356,6156,-8902,8177,1614
0,14760,-5380,6196,-3739,4091,1594
0,14216,-6672,6328,-2537,2675,1525
0,14104,-5364,7312,-1510,35,2232
0,11976,-7184,6040,-10215,14269,12330
0,7072,-12732,7556,-8928,13626,14102
0,7288,-14240,7656,-480,2848,-2238
0,8120,-12436,8468,-9,797,-1609
0,8756,-12148,8156,982,1036,-540
0,8104,-12148,8184,-700,-350,1100
0,8140,-12508,8172,1449,-1496,596
0,8160,-12168,8228,1944,-1022,1367
0,8932,-12428,8100,3336,-1471,-415
0,8208,-10744,9180,3340,-8007,529
0,9728,-11236,8156,2992,-2998,-87
0,9512,-10616,9200,2565,-6165,1017
0,10796,-10580,7684,2756,-4008,-41
0,10296,-9836,8724,250,-776,1050
0,10212,-10320,8304,682,667,-641
0,10072,-10436,7844,6,-846,-249
0,10384,-10428,7924,2068,-965,-1256
0,11312,-9104,7872,1118,-1819,-783
0,11204,-9220,8676,423,1335,-1190
0,11036,-9132,8208,-759,858,-71
0,11408,-9176,8552,160,1640,-636
0,11012,-9256,7872,-869,491,-365
0,10980,-9080,9112,-119,1379,-378
0,10988,-9480,7732,-372,41,-200
0,11044,-9148,8992,-28,499,40
0,11008,-9292,8184,-406,290,-218
0,11068,-9184,9132,-324,79,346
0,11004,-9376,8228,-310,163,-324
0,10984,-9300,8924,-191,123,121
0,10984,-9300,8408,-54,410,-171
0,11080,-9128,8680,-495,769,237
0,10896,-9432,8324,-24,410,-342
0,11140,-9312,8432,-527,429,142
0,10852,-9344,8448,320,871,-967
0,10908,-9244,8648,-340,105,119
0,10880,-9060,8800,493,297,-471
0,11096,-9172,8912,-674,630,-52
0,10616,-9248,8632,-70,227,347
0,11168,-9136,8584,-380,373,-383
0,10744,-9412,8856,-567,310,181
0,10476,-9692,8244,-672,553,-659
0,10824,-9104,8852,332,1183,-1358
0,12152,-9096,7552,-345,2055,-1051
0,9340,-9476,10520,-998,13150,5001
0,7780,-10280,10476,2975,-16472,-782
